comp_id,realty_broker_id
3,145
4,54
11,1
14,1784
18,3
21,4
23,5
25,6
26,7
33,1702
36,8
40,9
52,11
76,13
111,1796
113,16
130,126
136,23929
142,318
156,20
201,21
202,13640
204,23
220,1455
224,1728
227,25
235,27
243,28
258,30
269,31
293,1525
303,1731
306,32
323,32
327,34
329,35
347,1808
368,37
372,6
378,38
388,39
394,40
399,42
405,43
407,45
422,49
428,8
432,1821
442,50
443,51
444,1788
456,52
457,24
462,1597
466,1812
496,54
508,38
517,2167
519,56
526,58
528,41
542,1434
572,59
585,63
595,1768
600,64
607,352
619,1732
621,21
623,41
627,4
679,66
687,32
693,68
713,70
756,1324
757,71
772,1772
773,71
783,28
786,72
802,73
826,1807
833,75
839,76
857,1823
859,80
873,364
877,1791
887,38
889,73
898,1746
913,86
934,54
986,313
996,71
1021,90
1026,91
1032,91
1067,94
1071,95
1094,73
1095,73
1099,99
1100,101
1106,102
1124,104
1149,9
1153,106
1174,108
1175,109
1176,376
1189,23944
1196,7
1200,157
1232,73
1234,112
1235,113
1236,71
1243,114
1257,1776
1258,116
1273,73
1285,13584
1288,40
1292,118
1293,102
1298,121
1300,49
1302,1677
1308,6
1309,321
1311,122
1317,123
1327,124
1330,1759
1336,1724
1340,49
1344,49
1349,1720
1355,1819
1366,126
1378,1798
1382,1801
1386,127
1387,129
1390,73
1391,73
1398,73
1408,6
1410,1751
1422,81
1433,352
1447,132
1450,133
1451,1776
1453,116
1460,1658
1464,1491
1478,1753
1484,160
1495,135
1501,71
1515,54
1517,76
1530,21
1548,141
1549,142
1550,143
1559,1782
1560,1804
1564,6
1580,1815
1582,145
1647,1777
1690,202
1699,1625
1734,152
1744,1822
1752,154
1755,155
1761,38
1770,157
1776,319
1785,72
1791,1408
1798,40
1800,38
1818,2133
1825,34
1827,399
1829,161
1841,163
1845,1703
1859,28
1861,166
1866,1841
1873,175
1894,178
2002,186
2005,189
2021,202
2023,196
2025,197
2028,201
2052,203
2054,204
2056,205
2066,175
2069,1562
2075,102
2076,123
2078,86
2079,86
2085,1707
2087,6
2088,73
2089,73
2186,1757
2205,2167
2244,1592
2315,1596
2322,218
2323,218
2343,216
2362,1596
2364,220
2368,1598
2391,42
2460,229
2482,293
2489,234
2491,236
2492,237
2494,238
2504,244
2513,247
2518,251
2558,277
2614,299
2641,306
2647,308
2661,1607
2662,165
2708,1326
2710,310
2721,312
2726,26942
2744,327
2747,330
2750,333
2756,338
2759,340
2766,343
2769,348
2771,352
2773,355
2776,330
2778,175
2779,374
2787,376
2789,377
2790,378
2795,2041
2801,379
2804,380
2808,1765
2809,386
2812,387
2815,388
2816,375
2827,1593
2837,390
2839,1899
2843,397
2847,398
2848,399
2850,399
2852,399
2853,400
2854,399
2858,399
2859,402
5672,399
7112,1950
7115,399
7116,399
7126,310
7130,163
7131,399
7135,1318
7136,1632
7139,1318
7140,399
7142,1320
7147,399
7169,1322
7170,1323
7172,1321
7173,402
7178,399
7186,106
7188,1325
7190,1319
7191,399
7194,1326
7195,402
7198,399
7202,1326
7211,399
7215,1318
7217,34
7221,402
7233,1329
7236,1330
7237,399
7239,399
7240,1325
7241,330
7242,399
7246,399
7249,399
7250,1330
7251,398
7259,1331
7270,1320
7273,338
7274,1332
7275,1318
7276,399
7277,1321
7284,338
7291,163
7293,399
7294,402
7296,399
7298,1333
7299,399
7300,399
7304,1326
7306,1326
7310,106
7311,399
7314,1334
7321,399
7325,399
7328,399
7338,1326
7339,1335
7341,34
7348,1319
7351,399
7354,399
7355,1325
7373,399
7377,1330
7378,1319
7379,399
7380,399
7381,1338
7382,399
7387,399
7389,1326
7397,34
7399,1318
7401,399
7402,399
7406,399
7408,399
7413,399
7414,402
7418,1321
7420,1340
7424,1341
7426,399
7428,1342
7429,1344
7434,399
7435,375
7437,399
7438,1325
7442,399
7447,399
7457,1320
7459,375
7466,399
7468,1319
7480,1334
7482,399
7483,399
7488,1321
7490,1331
7498,106
7502,234
7513,399
7514,1331
7520,399
7524,310
7525,1334
7527,1326
7529,1331
7531,1330
7532,1329
7534,399
7535,399
7536,400
7537,399
7538,1329
7539,1338
7540,114
7551,106
7555,399
7556,1320
7560,163
7582,400
7586,399
7587,106
7590,399
7591,1338
7592,399
7598,34
7599,310
7605,1330
7609,1329
7610,399
7613,1325
7614,399
7618,1349
7619,1318
7622,1326
7624,1321
7625,1345
7630,1326
7639,330
7640,399
7653,399
7655,399
7658,1325
7661,399
7663,310
7664,1326
7668,1323
7669,399
7670,399
7671,1318
7672,399
7673,399
7674,1350
7676,34
7681,399
7684,1325
7685,1318
7693,1325
7695,400
7704,1334
7714,399
7718,399
7719,34
7721,1345
7722,1338
7723,399
7728,1338
7729,399
7731,310
7735,1351
7740,399
7742,399
7744,399
7746,1325
7749,1321
7751,399
7752,1325
7753,338
7755,399
7762,399
7763,399
7774,398
7779,1355
7783,1331
7784,399
7786,1334
7789,402
7796,1342
7805,399
7807,1342
7808,1358
7810,399
7815,399
7816,399
7818,402
7826,1322
7830,1321
7831,1341
7832,399
7837,399
7838,399
7844,3994
7854,1334
7863,163
7867,1325
7868,1321
7869,400
7870,34
7871,1325
7876,398
7877,1325
7880,1341
7883,399
7893,399
7895,1333
7897,1325
7898,1326
7902,1331
7907,399
7908,1325
7911,1321
7913,1325
7917,1339
7921,399
7923,399
7925,400
7929,34
7930,399
7934,1321
7937,1331
7941,34
7942,399
7946,399
7947,1361
7951,399
7957,1336
7960,1326
7962,399
7969,1325
7978,1326
7986,1329
7987,1326
7988,399
7994,399
7999,1321
8000,1325
8001,399
8003,1320
8008,1326
8015,1325
8016,399
8017,1336
8021,399
8025,399
8030,1341
8032,338
8033,34
8034,1336
8035,338
8038,1320
8043,1325
8045,398
8050,399
8051,1325
8052,1362
8054,1331
8056,399
8058,1334
8059,106
8064,1325
8072,1365
8083,1367
8088,1368
8110,399
8126,1349
8129,399
8133,399
8141,1358
8152,1374
8154,1322
8164,1376
8177,1377
8182,399
8185,399
8186,1358
8193,1378
8194,375
8203,1380
8211,1383
8226,8
8240,1388
8241,1326
8248,398
8250,1391
8263,1394
8292,1343
8296,1400
8308,1402
8314,399
8318,75
8326,1404
8330,399
8333,1341
8344,1406
8355,399
8360,399
8362,1408
8368,1733
8371,1410
8381,1411
8396,1334
8405,1413
8410,1414
8430,1415
8461,1325
8462,399
8474,1422
8483,1423
8497,1425
8501,1428
8502,399
8508,1341
8527,1429
8543,1431
8548,1331
8559,1406
8565,1434
8568,2090
8583,1571
8596,399
8604,399
8606,397
8607,1325
8641,1442
8656,1443
8672,399
8686,28
8696,402
8697,1376
8703,1447
8716,1450
8737,175
8748,129
8761,399
8764,399
8770,399
8776,399
8783,399
8786,399
8787,399
8797,399
8798,399
8802,399
8803,1326
8825,1326
8826,399
8830,1455
8839,399
8841,399
8846,1326
8847,1325
8853,399
8855,399
8857,1326
8870,1351
8879,399
8883,399
8888,399
8892,1326
8893,1457
8895,399
8896,399
8904,399
8905,1325
8914,399
8922,399
8923,399
8929,1458
8930,1458
8931,1458
8934,1458
8935,1458
8936,1458
8938,1458
8942,1459
8949,1459
8950,1458
8951,1459
8954,1459
8960,1459
8965,1460
8967,1458
8968,1458
8969,1459
8970,1462
8975,310
8979,1408
8982,1466
9010,1471
9018,1473
9022,90
9030,1325
9037,1334
9038,90
9039,90
9040,1475
9047,1476
9052,1477
9054,1478
9062,1480
9065,1482
9078,1404
9082,1484
9103,160
9111,1471
9117,1492
9142,90
9150,1500
9164,90
9176,1505
9187,1507
9201,399
9208,1376
9213,1512
9229,310
9231,1515
9241,1519
9250,399
9257,1525
9265,1471
9269,1388
9290,1531
9291,1475
9307,1321
9324,1538
9352,1543
9357,1544
9359,1406
9369,74
9370,1531
9377,1543
9391,1549
9393,1543
9396,49
9411,265
9423,1321
9428,1325
9433,1459
9441,1551
9443,399
9451,399
9456,1326
9465,1457
9466,399
9470,399
9475,399
9484,399
9489,399
9502,399
9510,399
9521,399
9525,399
9530,399
9534,399
9535,399
9547,1325
9553,1553
9568,399
9570,399
9579,399
9586,338
9590,1551
9594,399
9596,399
9611,399
9625,398
9631,399
9633,398
9637,1326
9657,1320
9658,1380
9661,1326
9663,399
9681,1562
9692,1325
9696,1326
9701,1564
9704,1458
9713,1567
9717,34
9725,1568
9731,399
9732,1569
9738,1325
9741,399
9742,1321
9748,375
9774,145
9776,1572
9777,399
9779,1574
9783,1575
9785,399
9793,1334
9796,1543
9803,1553
9804,399
9810,1581
9811,27265
9816,1585
9830,1589
9831,1320
9856,1331
9865,1575
9873,1604
9877,34
9884,310
9896,399
9910,399
9911,310
9919,399
9920,1611
9931,1334
9946,1612
9949,1325
9964,399
9969,399
9973,399
9974,1459
9986,1618
9995,1320
9999,402
10005,1325
10011,1325
10012,399
10024,1459
10026,1620
10028,1321
10033,1326
10036,25
10038,1458
10045,1326
10057,1326
10064,355
10078,399
10084,1628
10098,399
10103,1417
10104,397
10106,402
10112,338
10114,1631
10116,1618
10118,1321
10120,1321
10128,402
10163,1321
10168,400
10169,1338
10172,1635
10187,1326
10190,1325
10211,152
10217,1638
10236,136
10239,1642
10262,90
10263,90
10267,1612
10269,90
10273,310
10277,1320
10292,399
10304,399
10307,399
10311,34
10318,399
10324,1658
10326,1338
10333,358
10357,1661
10362,1458
10367,1459
10377,1325
10378,338
10381,1326
10391,1476
10402,1663
10435,1667
10437,399
10442,1668
10451,1325
10456,1325
10457,1326
10460,399
10495,1620
10528,399
10533,399
10536,165
10538,1677
10542,399
10548,106
10555,8
10558,400
10564,1325
10565,1325
10567,1325
10570,19641
10572,1325
10574,1325
10575,1325
10578,26944
10587,1321
10595,175
10597,112
10608,387
10645,1684
10749,2151
10750,74
10787,1688
11079,40
11378,1689
11386,1690
11428,1658
11430,1692
11431,2045
11435,1693
11529,1699
11566,1711
11581,2052
11603,31
11612,1715
11643,1413
11716,1959
11748,44
11934,160
11944,1743
11952,1745
11987,1749
12000,147
12018,1758
12021,133
12023,1803
12024,105
12025,1805
12027,125
12085,1962
12128,1889
12135,1846
12137,1848
12180,1856
12193,1863
12195,1864
12196,1866
12197,1848
12198,306
12199,1849
12203,1871
12206,1874
12209,1875
12214,1880
12216,1882
12219,1885
12297,307
12302,1893
12307,1894
12446,86
12929,1899
13092,1900
13353,1414
13354,1658
13383,1905
13384,1620
13391,1906
13395,1491
13417,1910
13418,1912
13433,1801
13437,1916
13439,1917
13455,1812
13457,1733
13476,1921
13480,1907
13481,1924
13483,1926
13509,90
13513,1935
13532,1938
13553,1941
13572,1944
13573,1946
13576,1947
13578,1948
13579,1949
13597,1951
13598,1952
13610,2013
13622,1958
13792,1899
13880,90
13929,1923
13938,1777
13946,1923
13948,1961
13949,348
13955,1564
13957,1367
13976,1964
13978,1965
13982,1455
13983,1968
13985,1923
13987,1970
13988,1971
13993,1973
14022,166
14036,1977
14039,1978
14065,1959
14070,1979
14080,1935
14082,1376
14084,1983
14288,1985
14297,1988
14298,1990
14319,2000
14401,2012
14402,1339
14405,2154
14429,379
14431,1923
14445,2026
14446,28
14649,2018
14665,1376
14669,2151
14727,2027
14736,2030
14741,2035
14742,2036
14979,375
15041,2063
15043,2065
15064,1960
15074,2086
15075,2128
15076,2089
15182,2094
15200,2129
15213,80
15264,2158
15266,348
15290,2100
15310,2104
15311,2164
15493,1447
15508,138
15516,1525
15539,2131
15583,1765
15603,1964
15618,2143
15619,2144
15620,46
15633,1959
15647,2150
15757,2159
15759,1668
101376,2179
101678,1689
101679,1935
101681,1429
101700,2182
101730,330
101731,2192
101732,353
101737,2204
101738,1443
101572,43
15536,398
101741,2219
14952,2220
14954,2222
15514,375
14873,2226
15434,2255
15434,397
15434,330
101743,2228
101630,1801
101745,1430
14973,2154
14973,2268
15541,2271
15541,2272
15541,1602
15541,1977
15672,2278
101763,45
15775,2183
101420,1447
101408,2283
101408,2284
101786,2294
14963,2296
101787,2303
15579,351
15207,2306
15344,2308
15770,2312
101817,2351
101818,2352
15425,2361
101822,2363
101827,2369
101832,2376
101834,2330
15767,2402
101352,2426
101758,2427
101851,2429
15766,2453
14806,2462
14378,20
15534,2467
101861,2479
14967,2484
15199,2485
101872,2497
101893,2507
15788,2510
15747,2514
101652,2519
14441,2522
101908,2530
101915,2532
15646,2540
15239,2298
15460,2542
14647,2555
101920,2556
101922,2280
101924,2361
101927,2361
101577,2519
15736,2211
15628,1443
15628,1995
102019,1434
14703,1436
102036,2711
102037,2711
101486,2580
102039,2712
101487,1930
9851,2284
101621,2646
102151,2713
101875,1837
101875,2715
101654,2718
102048,1862
102049,2720
101417,2723
101417,1699
101417,2254
101417,2724
102047,1950
101683,1575
101683,2730
102035,2734
102035,2735
102175,112
102176,46
10636,2656
101995,160
101941,2723
102238,2751
101619,1471
101409,2320
102491,2753
102492,2756
102493,2761
102494,2774
102495,2779
102496,2775
102497,2596
102498,2790
102499,2786
102500,2777
102501,2777
102502,2777
102505,2808
102510,2809
102526,2815
102528,2818
102533,2821
102535,2764
102536,2822
102539,2824
102542,2826
102549,2831
102711,2754
102715,2757
102727,2758
102728,2756
102731,2763
102734,2766
102741,2767
102760,2756
102762,2753
102765,2769
102774,2770
102775,2767
102777,2771
102789,2776
102790,2777
102792,2781
102793,2780
102852,2756
102854,2783
102863,2782
102868,2785
102874,2770
102882,2788
102655,2786
102904,2789
102427,2792
102922,2793
103158,2777
103160,2794
102997,2795
103060,2799
103163,2762
103164,2755
103165,2800
102388,2801
103166,2802
102629,2803
103186,2762
103251,2804
103252,2807
103254,2752
103289,2796
103611,2836
103612,2837
103148,2834
103623,2839
103440,2841
103657,2845
101636,2668
2840,313
101454,2846
101454,2847
104270,2850
104272,2852
104273,2854
104274,2856
104276,2859
104278,2861
104279,2863
104281,2860
104282,2866
104283,2868
104284,2870
104288,2860
104290,2868
104293,2876
104295,2870
104296,2879
104297,2881
104301,2868
104302,2868
104304,2887
104305,2882
104306,2890
104307,2860
104312,2882
104318,2898
104319,2899
104321,2900
104322,2902
104323,2903
104324,2904
104327,2860
104328,2871
104332,2909
104336,2866
104337,2875
104338,2887
104340,2893
104275,2894
104344,2906
104347,2901
104348,2861
104349,2868
104351,2881
104353,2883
104354,2913
104355,2881
104357,2895
104358,2918
104359,2886
104360,2898
104362,2883
104363,2868
104365,2910
104277,2870
104367,2861
104372,2886
104271,2878
104373,2910
104375,2886
104376,2916
104378,2910
104380,2876
104381,2920
104385,2883
104388,2899
104393,2901
104394,2870
104395,2868
104399,2921
104740,2934
104742,2940
104744,2922
104746,2886
104748,2924
104775,2908
104779,2938
104780,2941
104781,2886
104782,2943
104783,2862
104807,2945
104800,2947
104799,2886
104808,2890
104809,2949
104810,2890
104813,2869
104819,2948
104820,2871
104821,2950
104822,2951
104825,2879
104826,2866
104827,2899
104828,2908
104834,2866
104838,2959
104839,2921
104843,2943
104844,1620
102231,377
102232,377
102233,377
104848,2968
104851,2972
104852,2974
104853,2976
104854,2978
104855,2979
104859,2986
104860,2976
104867,2995
104869,2890
104871,3000
104874,2998
104875,2928
104876,3008
104877,3011
104878,2870
104881,3014
104882,2875
104900,3038
104902,2895
104903,3044
104931,2998
104803,3008
104941,3010
104943,2943
104944,2862
104945,2860
104836,3015
104811,2862
104946,2908
104804,2860
104948,2899
104954,3042
104806,2895
105053,2864
105067,2875
105076,3058
105081,2886
104383,3061
105093,2874
105094,3063
105112,2834
105113,3071
105122,3073
105123,3072
105124,3072
105125,3072
105126,3072
105127,3075
105128,3072
104797,2943
105625,3078
105630,3086
105631,3088
105633,2845
105634,3095
105635,3097
105640,3106
105654,3091
105509,3093
105661,3110
105662,3085
104595,3112
105837,2860
105838,2901
105847,2860
105851,2862
105852,2913
105856,2885
105861,2886
105869,3119
105895,2913
105919,3128
105923,2862
105924,2893
105925,3121
105929,3042
105930,2886
105933,3129
105934,3136
105935,3138
105936,2877
105939,3131
105940,3132
105943,3133
105946,2833
105947,3140
105952,3148
105962,3146
105963,3151
105965,2837
105968,2868
105969,2886
105984,2901
105989,2910
106008,2876
106009,2882
106024,2862
106075,2870
105104,2899
106079,2913
106084,2883
106092,3123
106102,2862
106104,2871
106105,2913
106107,2862
106111,3159
106116,2886
106119,3160
106120,3161
106121,2901
106122,3162
106125,3164
106131,3166
106135,3165
106141,2874
106145,2886
106146,2875
106152,2899
106185,1661
101939,1962
106201,2951
106281,3000
106298,2862
106300,2855
106301,3175
106323,3177
106325,3179
106326,2817
106327,3182
106330,3185
106333,3188
106335,3193
106337,3194
106339,3201
106340,3204
106341,3183
106342,3186
106343,3186
106345,3207
106346,3208
106348,3210
106349,3168
106350,3213
106352,2972
106353,2976
106355,3217
106356,3212
106357,3219
106358,3221
106359,3223
106360,3225
106361,3226
106362,3227
106363,3212
106364,3229
106365,3181
106367,3189
106369,3190
106373,3195
106376,3197
106381,3199
106383,3202
106386,3228
106403,3143
106412,3235
106418,2780
106422,2780
106425,3246
106431,2791
106436,2773
104106,3257
15315,2306
106556,3261
106557,3262
106559,3264
106560,3267
106563,3270
106564,3259
106569,2796
106573,3277
106583,3192
106589,3299
106594,2836
106595,2807
106597,3314
106598,3316
106600,2843
104599,2837
103906,3201
106605,3294
106608,3187
106610,2825
106611,3303
106614,2948
106618,3307
106620,3195
106626,3318
106644,3322
106646,2833
106648,3114
106649,3076
106652,3329
106653,3091
106654,2825
106658,3184
106659,3334
106662,3335
106664,3141
106666,3113
106669,3331
106670,3333
106671,3140
106672,3143
106724,1631
106285,3068
100047,2596
100047,2597
101469,138
106807,3340
106808,3340
106811,3346
106814,3350
106816,3356
106820,3358
106826,3364
106829,3358
106832,3219
106833,3372
106834,3374
106836,3376
106844,3351
105406,3355
106847,3383
106871,3385
106873,22763
106874,3356
106884,3394
106885,3398
106888,3400
106889,3324
106891,2841
106900,3356
106901,3406
106930,3075
106932,3412
106933,3408
106939,3418
106948,3166
106949,3166
106195,3410
106951,2951
107051,3431
107066,3433
107067,2972
107069,3219
107070,3229
2333,3461
2333,1563
107117,1472
107094,3466
107119,2866
107121,2921
104763,2861
107122,3470
107123,2910
107125,2879
107127,2860
104892,2860
104504,3000
107128,3471
107129,3472
105337,3473
107130,2868
107135,2886
107138,2845
107139,3266
107140,2792
107142,2803
107148,2772
107149,3258
107150,2788
107153,3479
107154,3479
107156,3482
107157,3483
107159,3484
107160,3314
107161,3486
107162,2836
107165,2843
107168,3490
107169,3189
107172,3078
107173,3494
107175,3495
107176,2840
107177,3496
107180,3500
107187,3506
107192,2840
107194,3511
107195,3513
107202,3512
107203,3517
107205,2840
107206,3519
107207,3521
107209,3487
107213,3526
107216,2840
107218,3528
107219,3484
107220,3152
107221,1320
107224,2809
107231,3534
107232,3192
107238,3535
107239,3536
107245,3542
107248,3486
107255,3549
107258,3553
107259,3554
107264,3314
107266,1320
104015,3515
107295,3488
107296,3518
107297,3522
107299,3483
107302,3544
107305,2820
107307,2820
15765,2612
101673,2189
107461,3219
107466,3559
107467,3561
107468,3563
107469,3565
107472,3568
107473,3272
107474,3570
107476,3572
107478,3573
107479,3569
107481,3575
107482,3577
107484,3579
107485,3580
107486,3581
107491,3556
107492,3556
107495,3586
107496,3587
107497,3588
107498,3556
107499,3590
107503,3595
107504,3597
107506,3597
107507,2908
107508,3599
107514,3603
107515,3097
107516,3606
107518,2836
107519,3611
107520,3612
107522,3517
107523,3614
107525,3617
107527,3618
107528,3619
107529,3556
107530,3556
107533,3592
107535,3594
105437,3601
104709,3604
107537,3530
107538,3605
105166,3608
107539,3609
106550,3613
105440,3085
107586,3621
107587,3622
107589,3624
107590,3219
107595,3221
107596,3358
107597,3206
107598,3627
107599,3208
107600,3206
107601,3629
107602,2978
107604,3630
107605,3208
107606,3629
107607,3629
107608,3212
107609,3630
107613,3212
107615,3220
107616,3633
107617,2968
107618,2976
107621,3637
107622,3069
107623,3638
107624,3639
107625,3603
107627,3640
107629,3630
107632,3376
107634,3641
107636,2976
107638,3633
107639,3219
107640,3637
107641,2978
107643,3642
107644,3634
107645,3629
107646,2976
107647,3636
107648,3221
107649,3075
107650,3597
107651,3646
107652,2976
106548,2968
107654,3217
107655,3229
106553,3166
106547,3220
107656,3636
107659,3597
107660,3597
107661,3648
107669,3596
107670,3650
107673,3591
107675,3597
107676,3596
107680,3653
107681,3654
107682,3585
107684,3655
107686,2775
107688,2827
107689,3166
107690,3097
107691,3657
107692,3085
107693,3659
107694,3660
107697,3658
107698,3658
107699,3325
107700,3662
107703,3616
107704,3664
107706,3665
107707,2828
107709,3667
107711,3669
107714,3673
107715,3166
107716,3674
107717,3672
107718,3676
107719,3166
107720,3678
107721,3211
107724,3681
107729,3638
107730,3684
107731,3685
104760,3649
107736,3597
107742,3661
107743,3193
107746,3666
107747,3166
107750,3678
107765,3686
107767,2881
107768,2972
107769,3688
107773,3650
107774,3691
107775,3597
107781,3693
107783,3693
107785,3220
107786,3685
107788,3566
107790,3680
107791,3698
107796,3578
107797,3376
107798,3571
107799,3567
107801,3577
107803,3578
107804,3701
107806,3571
107807,3571
107809,2780
107810,3376
107811,3569
107812,3574
107813,3701
107814,3376
107815,3567
107816,3574
107817,3705
107818,3272
107819,3694
107820,3707
107822,2815
107823,3712
107825,3080
107826,3704
107828,3093
107829,3080
107832,3608
107834,3661
107836,3408
107843,3701
104269,3703
105295,3710
103586,3487
106782,3613
105216,3714
106529,3605
107093,1715
107966,2908
107979,3720
108262,1667
108266,3324
108268,3736
108270,2842
108271,3738
108272,3739
108273,3641
108274,3741
108275,3420
108277,3617
108278,3740
