comp_id,realty_company_id
3,1
4,564
11,3
14,1
16,4
18,5
21,6
23,6
25,6
26,7
33,415
35,1
36,6
40,6
42,9
44,1
45,1
52,564
62,1
73,11
77,13
80,1
91,15
96,367
97,5
105,17
108,564
111,1
113,6
118,1
124,564
130,5
136,1
142,9
145,1
152,10
159,5
161,564
189,5
191,564
194,564
195,1
196,1
197,1
198,16
201,6
202,1
203,21
208,5
209,13
213,1
214,564
219,1
220,564
224,18
227,564
233,564
234,13
235,564
238,564
241,367
243,564
248,24
255,571
258,25
269,26
276,1
279,146
283,564
285,367
287,564
290,9
293,169
296,98
297,367
303,5
306,6
308,564
316,11
317,367
319,5
320,564
321,564
322,1
323,6
327,367
329,1
330,30
331,13
335,12
343,9
347,564
360,98
362,341
368,6
371,11
372,6
373,9
378,6
388,5
392,16
394,5
395,564
397,367
399,6
405,31
407,18
416,128
417,4
418,1
420,405
422,6
423,11
428,6
432,11
437,677
439,564
442,7
443,34
444,1
445,365
448,9
449,564
452,9
456,6
457,23
461,296
462,1
466,564
481,421
489,38
496,564
499,9
508,6
512,39
515,367
516,564
517,13
519,7
520,16
523,1
526,6
528,6
531,1
537,18
540,425
542,5
544,1
548,564
549,564
561,564
564,43
566,389
569,44
571,1
572,6
573,18
582,47
585,48
591,5
592,564
593,5
595,456
596,564
603,9
605,1
607,564
608,1
610,564
617,367
619,447
621,6
623,6
627,6
636,365
641,564
651,564
662,18
679,5
683,16
684,564
686,564
687,6
692,16
694,4
695,352
711,11
713,13
716,124
720,16
728,1
730,11
731,564
745,564
747,58
748,1
752,11
755,564
756,9
757,6
762,1
770,1
772,458
773,6
775,1
776,564
777,1
778,1
780,1
783,564
784,9
786,6
787,367
788,16
792,693
795,564
796,564
798,38
800,9
802,6
811,564
817,60
818,61
826,564
827,11
828,564
829,564
835,9
839,564
843,63
844,6
846,64
847,367
848,367
850,409
852,5
853,564
857,336
859,610
862,11
863,564
866,1
867,564
873,5
877,1
886,9
887,6
888,564
889,6
896,9
898,18
907,69
913,6
927,564
929,564
934,564
937,70
938,564
948,564
953,65
961,1
963,71
968,18
969,72
971,5
979,5
981,5
982,9
986,16
989,5
996,6
997,1
1000,6
1010,16
1017,11
1021,1
1026,73
1032,457
1034,74
1046,564
1061,145
1063,564
1064,367
1067,77
1070,79
1071,16
1072,80
1073,72
1085,564
1087,564
1089,1
1090,5
1091,430
1092,564
1094,6
1095,6
1099,82
1100,83
1106,6
1118,5
1119,564
1120,564
1122,79
1124,1
1133,18
1134,13
1137,9
1145,1
1147,367
1148,9
1149,6
1152,5
1153,7
1163,564
1174,89
1175,89
1176,5
1189,6
1194,564
1195,334
1196,7
1198,1
1200,564
1211,9
1212,564
1214,5
1221,1
1224,367
1229,401
1232,6
1233,168
1234,564
1235,6
1236,6
1240,564
1243,564
1246,1
1250,564
1252,296
1255,5
1257,9
1258,6
1268,417
1273,6
1284,5
1285,1
1286,9
1287,417
1288,5
1290,5
1291,367
1293,6
1298,6
1300,6
1302,564
1308,6
1309,170
1311,564
1314,1
1317,6
1320,5
1327,564
1330,5
1331,175
1332,146
1334,5
1336,9
1338,564
1339,564
1340,6
1344,6
1349,79
1354,93
1355,11
1366,5
1378,1
1382,1
1384,48
1386,94
1387,18
1390,6
1391,6
1396,564
1398,6
1408,6
1409,564
1410,96
1420,1
1422,564
1426,564
1430,367
1431,98
1433,564
1447,1
1450,9
1451,9
1453,6
1456,564
1460,175
1464,1
1474,1
1478,32
1480,9
1481,564
1484,564
1485,1
1489,1
1490,5
1495,6
1500,101
1501,6
1506,564
1511,1
1515,564
1516,611
1517,564
1520,1
1523,367
1524,367
1529,16
1530,6
1531,16
1534,564
1544,564
1546,7
1547,9
1548,1
1549,103
1550,104
1551,105
1556,367
1559,1
1560,7
1564,6
1573,1
1580,564
1582,1
1583,124
1587,564
1597,79
1604,108
1607,1
1610,1
1614,564
1619,1
1628,629
1630,424
1631,43
1642,16
1644,564
1646,564
1647,9
1650,5
1657,564
1658,1
1664,6
1666,367
1669,564
1672,564
1677,9
1683,16
1690,16
1697,564
1699,564
1701,38
1703,564
1710,32
1719,6
1722,1
1724,5
1732,564
1734,1
1736,564
1742,5
1744,365
1745,662
1748,1
1749,1
1752,564
1755,6
1756,1
1757,1
1761,6
1765,1
1770,564
1775,367
1776,564
1777,9
1778,564
1785,6
1790,367
1791,5
1797,11
1798,5
1800,6
1818,16
1819,5
1820,367
1821,11
1822,5
1823,564
1825,367
1826,80
1827,171
1829,13
1830,114
1837,367
1838,564
1841,7
1842,564
1844,367
1845,564
1846,564
1848,564
1849,9
1850,9
1851,9
1857,18
1858,1
1859,564
1860,564
1861,1
1862,564
1863,564
1864,98
1865,16
1866,11
1868,564
1870,1
1872,564
1873,5
1876,402
1907,64
1908,64
1914,115
1951,1
1957,117
1979,64
2011,64
2022,424
2023,9
2025,123
2026,64
2027,124
2028,367
2047,83
2050,564
2051,13
2052,9
2054,564
2055,1
2056,5
2059,11
2066,5
2068,564
2069,564
2071,564
2072,5
2073,564
2075,6
2076,6
2077,564
2078,6
2079,6
2080,16
2085,420
2087,6
2088,6
2089,6
2101,16
2110,564
2116,1
2132,564
2162,564
2173,11
2174,564
2183,13
2186,4
2198,367
2205,13
2219,564
2226,5
2244,11
2271,1
2305,367
2307,7
2315,16
2317,9
2322,13
2323,13
2324,16
2325,9
2329,98
2330,136
2332,367
2333,564
2335,564
2337,27
2340,564
2343,564
2344,1
2345,678
2361,1
2362,16
2364,564
2368,564
2371,367
2391,6
2449,1
2457,16
2460,140
2482,64
2489,143
2490,1
2491,144
2492,145
2493,1
2494,146
2500,65
2504,1
2508,120
2513,145
2516,120
2518,1
2525,64
2529,147
2533,16
2535,1
2542,64
2548,564
2549,72
2553,1
2554,16
2556,1
2558,155
2570,72
2572,158
2578,1
2583,154
2584,1
2585,159
2594,1
2603,1
2604,72
2605,1
2614,150
2616,64
2619,64
2631,1
2632,120
2641,65
2642,64
2647,163
2656,165
2662,564
2669,5
